Company,ARCH_p_value,BestVolModel,Order,AIC
AETEC,2.805468576928152e-08,GJR-GARCH,"(3, 1)",-1656.4961383004722
BH,0.013499205379013559,EGARCH,"(3, 1)",-2928.152475151966
BHL,0.0030730919174249117,GARCH,"(1, 1)",-1768.4325148535859
DH,8.527342647744858e-07,EGARCH,"(1, 2)",-4076.870441393138
ECYCL,0.03582336200414627,EGARCH,"(3, 3)",-3844.7616041163237
GIF,0.0014631594590133162,EGARCH,"(3, 3)",-2021.9822057401675
HANL,0.00020368809127520692,EGARCH,"(2, 1)",-1137.5438931732365
MIP,0.02357464003675168,EGARCH,"(1, 1)",-190.60584197748634
NBL,0.005116405133479435,GARCH,"(3, 3)",-3015.395132614334
PLAST,0.04879854720156581,EGARCH,"(2, 1)",-2006.4693777871253
SAH,0.0093146247437313,EGARCH,"(2, 3)",-4418.174263432107
SERVI,0.012628825603785341,EGARCH,"(2, 3)",-1482.769392016653
SOPAT,0.013400346615374828,EGARCH,"(3, 1)",-2722.5027310698797
STVR,0.0008755236287436396,EGARCH,"(3, 3)",-4182.87716860227
TLNET,1.621705087372103e-08,EGARCH,"(3, 1)",-4280.274681202033
