Day,ForecastedLogReturn
1,0.002432297570113883
2,0.002432297570113883
3,0.002432297570113883
4,0.002432297570113883
5,0.002432297570113883
6,0.002432297570113883
7,0.002432297570113883
8,0.002432297570113883
9,0.002432297570113883
10,0.002432297570113883
11,0.002432297570113883
12,0.002432297570113883
13,0.002432297570113883
14,0.002432297570113883
15,0.002432297570113883
16,0.002432297570113883
17,0.002432297570113883
18,0.002432297570113883
19,0.002432297570113883
20,0.002432297570113883
21,0.002432297570113883
22,0.002432297570113883
23,0.002432297570113883
24,0.002432297570113883
25,0.002432297570113883
26,0.002432297570113883
27,0.002432297570113883
28,0.002432297570113883
29,0.002432297570113883
30,0.002432297570113883
31,0.002432297570113883
32,0.002432297570113883
33,0.002432297570113883
34,0.002432297570113883
35,0.002432297570113883
36,0.002432297570113883
37,0.002432297570113883
38,0.002432297570113883
39,0.002432297570113883
40,0.002432297570113883
41,0.002432297570113883
42,0.002432297570113883
43,0.002432297570113883
44,0.002432297570113883
45,0.002432297570113883
46,0.002432297570113883
47,0.002432297570113883
48,0.002432297570113883
49,0.002432297570113883
50,0.002432297570113883
51,0.002432297570113883
52,0.002432297570113883
53,0.002432297570113883
54,0.002432297570113883
55,0.002432297570113883
56,0.002432297570113883
57,0.002432297570113883
58,0.002432297570113883
59,0.002432297570113883
60,0.002432297570113883
61,0.002432297570113883
62,0.002432297570113883
63,0.002432297570113883
64,0.002432297570113883
65,0.002432297570113883
66,0.002432297570113883
67,0.002432297570113883
68,0.002432297570113883
69,0.002432297570113883
70,0.002432297570113883
71,0.002432297570113883
72,0.002432297570113883
73,0.002432297570113883
74,0.002432297570113883
75,0.002432297570113883
76,0.002432297570113883
77,0.002432297570113883
78,0.002432297570113883
79,0.002432297570113883
80,0.002432297570113883
